City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
941,Miracema Do Tocantins,BR,-9.5618,-48.3967,78.69,63,61,2.37,broken clouds
942,Grindavik,IS,63.8424,-22.4338,42.75,75,100,21.85,overcast clouds
943,Timbiqui,CO,2.7717,-77.6654,79.88,89,85,7.7,moderate rain
944,Tinskoy,RU,56.1525,96.9161,30.31,56,12,1.77,few clouds
945,Krasnoselkup,RU,65.7,82.4667,33.03,99,100,6.31,overcast clouds
946,Phitsanulok,TH,16.9167,100.5,76.21,87,100,4.45,heavy intensity rain
947,Ngaoundere,CM,7.3167,13.5833,66.65,89,100,1.77,overcast clouds
948,Cukai,MY,4.25,103.4167,76.95,91,88,1.74,overcast clouds
949,Guatire,VE,10.4762,-66.5427,83.05,68,92,3.65,overcast clouds
950,Whitianga,NZ,-36.8333,175.7,54.54,64,0,12.3,clear sky
951,Celestun,MX,20.8667,-90.4,86.59,65,1,20.27,clear sky
952,Salamanca,ES,40.8333,-6.0,67.78,54,19,5.5,few clouds
953,Khandagayty,RU,50.7333,92.05,31.87,58,1,6.93,clear sky
954,Severomuysk,RU,56.1481,113.4267,11.21,93,100,5.32,overcast clouds
955,Chimbote,PE,-9.0853,-78.5783,68.22,76,9,10.27,clear sky
956,Bend,US,44.0582,-121.3153,54.68,28,0,11.01,clear sky
957,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,73.74,36,0,7.49,clear sky
958,Kanzaki,JP,33.3,130.3667,65.25,100,75,2.3,light intensity shower rain
959,Pachino,IT,36.7186,15.0907,60.75,73,0,4.83,clear sky
960,Nelson,NZ,-41.2833,173.2833,47.7,81,5,1.01,clear sky
961,Liberal,US,37.0431,-100.921,89.74,18,0,8.05,clear sky
962,Leshukonskoye,RU,64.8989,45.7622,36.46,79,10,5.17,clear sky
963,Soe,ID,-9.8607,124.284,62.38,87,100,3.11,overcast clouds
964,La Palma,US,33.8464,-118.0467,75.81,37,75,18.41,broken clouds
965,Mehamn,NO,71.0357,27.8492,35.55,93,75,9.22,broken clouds
966,Ambulu,ID,-8.345,113.6058,76.93,90,67,4.07,broken clouds
967,Kodinsk,RU,58.6881,99.1844,30.56,85,38,2.42,scattered clouds
968,Kayes,ML,14.0,-11.0,99.5,7,2,7.34,clear sky
969,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,61.07,90,100,2.24,overcast clouds
970,Cap Malheureux,MU,-19.9842,57.6142,75.47,79,20,1.01,few clouds
